time,IL6combo,Btumor,regimen,patient_id
0.0,0.0,8.06e10,step_0.4_1_2.8mg,1
0.01,178.70465157120898,8.062017594556247e10,step_0.4_1_2.8mg,1
0.02,408.53697464574077,8.063969680803406e10,step_0.4_1_2.8mg,1
0.03,558.2744017424975,8.065888156697542e10,step_0.4_1_2.8mg,1
0.04,631.8370565704988,8.067763913627094e10,step_0.4_1_2.8mg,1
0.05,650.5071490209741,8.069601334972018e10,step_0.4_1_2.8mg,1
0.06,631.7449072197968,8.071404435603275e10,step_0.4_1_2.8mg,1
0.07,588.4865257407591,8.073177156009232e10,step_0.4_1_2.8mg,1
0.08,529.8977788258792,8.074923975519646e10,step_0.4_1_2.8mg,1
0.09,462.4748441600671,8.076648635864893e10,step_0.4_1_2.8mg,1
0.1,391.27548659783275,8.078354855747891e10,step_0.4_1_2.8mg,1
0.11,319.91123235862125,8.08004599690589e10,step_0.4_1_2.8mg,1
0.12,251.18434148040907,8.081725041683298e10,step_0.4_1_2.8mg,1
0.13,187.18693285899238,8.083394522772234e10,step_0.4_1_2.8mg,1
0.14,130.2518470614673,8.085056373176132e10,step_0.4_1_2.8mg,1
0.15,84.64649798405274,8.086711792573485e10,step_0.4_1_2.8mg,1
0.16,53.811787526470056,8.088361157857097e10,step_0.4_1_2.8mg,1
0.17,34.788677510533056,8.090004292964267e10,step_0.4_1_2.8mg,1
0.18,23.284443268385694,8.091640850488248e10,step_0.4_1_2.8mg,1
0.19,16.370716455495646,8.093270477666377e10,step_0.4_1_2.8mg,1
0.2,12.243359964657913,8.094892854752599e10,step_0.4_1_2.8mg,1
0.21,9.805097089352472,8.096507700399025e10,step_0.4_1_2.8mg,1
0.22,8.38967489675661,8.098114770200038e10,step_0.4_1_2.8mg,1
0.23,7.592658665328933,8.099713854011925e10,step_0.4_1_2.8mg,1
0.24,7.168572669023972,8.101304773199571e10,step_0.4_1_2.8mg,1
0.25,6.968444273475576,8.102887378035849e10,step_0.4_1_2.8mg,1
0.26,6.901886628097079,8.104461545288724e10,step_0.4_1_2.8mg,1
0.27,6.91407931402463,8.106027175992204e10,step_0.4_1_2.8mg,1
0.28,6.971790554989293,8.107584193390016e10,step_0.4_1_2.8mg,1
0.29,7.054897525936178,8.10913254103925e10,step_0.4_1_2.8mg,1
0.3,7.1512357188845135,8.110672181068677e10,step_0.4_1_2.8mg,1
0.31,7.253462157453556,8.112203092559323e10,step_0.4_1_2.8mg,1
0.32,7.35717171877801,8.113725270078343e10,step_0.4_1_2.8mg,1
0.33,7.459735525886537,8.115238722302238e10,step_0.4_1_2.8mg,1
0.34,7.559604264625526,8.116743470776266e10,step_0.4_1_2.8mg,1
0.35,7.655882090289151,8.118239548749817e10,step_0.4_1_2.8mg,1
0.36,7.748069923626806,8.119727000127614e10,step_0.4_1_2.8mg,1
0.37,7.835908383043363,8.12120587848558e10,step_0.4_1_2.8mg,1
0.38,7.919283182888415,8.122676246185027e10,step_0.4_1_2.8mg,1
0.39,7.998167286144488,8.124138173541911e10,step_0.4_1_2.8mg,1
0.4,8.072586056214668,8.12559173807933e10,step_0.4_1_2.8mg,1
0.41,8.14259598213962,8.127037023827338e10,step_0.4_1_2.8mg,1
0.42,8.208271852905275,8.128474120689711e10,step_0.4_1_2.8mg,1
0.43,8.26969881293649,8.129903123861324e10,step_0.4_1_2.8mg,1
0.44,8.326967863365518,8.131324133285379e10,step_0.4_1_2.8mg,1
0.45,8.380172920099522,8.132737253163075e10,step_0.4_1_2.8mg,1
0.46,8.429409018176507,8.13414259150845e10,step_0.4_1_2.8mg,1
0.47,8.474771343907879,8.135540259719345e10,step_0.4_1_2.8mg,1
0.48,8.51635459354809,8.136930372223123e10,step_0.4_1_2.8mg,1
0.49,8.55425257696102,8.138313046091222e10,step_0.4_1_2.8mg,1
0.5,8.58855801093894,8.139688400741148e10,step_0.4_1_2.8mg,1
0.51,8.619362425100753,8.141056557640501e10,step_0.4_1_2.8mg,1
0.52,8.646756082768444,8.142417640038068e10,step_0.4_1_2.8mg,1
0.53,8.670828117950322,8.143771772651465e10,step_0.4_1_2.8mg,1
0.54,8.691665822139717,8.145119081795747e10,step_0.4_1_2.8mg,1
0.55,8.709355247306407,8.146459694522385e10,step_0.4_1_2.8mg,1
0.56,8.723981738978944,8.147793738818633e10,step_0.4_1_2.8mg,1
0.57,8.735628546537543,8.149121343496292e10,step_0.4_1_2.8mg,1
0.58,8.744377951869431,8.150442638001703e10,step_0.4_1_2.8mg,1
0.59,8.750310897056407,8.151757752108743e10,step_0.4_1_2.8mg,1
0.6,8.753506903600563,8.153066815968533e10,step_0.4_1_2.8mg,1
0.61,8.754044233912406,8.15436995984279e10,step_0.4_1_2.8mg,1
0.62,8.751999804741919,8.155667314040117e10,step_0.4_1_2.8mg,1
0.63,8.747449175423998,8.156959008805807e10,step_0.4_1_2.8mg,1
0.64,8.740466739784114,8.15824517425435e10,step_0.4_1_2.8mg,1
0.65,8.731125518470165,8.159525940222641e10,step_0.4_1_2.8mg,1
0.66,8.719497297934675,8.160801436272122e10,step_0.4_1_2.8mg,1
0.67,8.705652673117097,8.162071791567195e10,step_0.4_1_2.8mg,1
0.68,8.689660836466448,8.163337134781729e10,step_0.4_1_2.8mg,1
0.69,8.671589854967275,8.164597594107379e10,step_0.4_1_2.8mg,1
0.7,8.651506668253612,8.16585329724891e10,step_0.4_1_2.8mg,1
0.71,8.629476735958367,8.167104371148204e10,step_0.4_1_2.8mg,1
0.72,8.605563856694538,8.168350941682225e10,step_0.4_1_2.8mg,1
0.73,8.57983170558185,8.169593134679088e10,step_0.4_1_2.8mg,1
0.74,8.552342302895541,8.170831075093004e10,step_0.4_1_2.8mg,1
0.75,8.52315610106823,8.172064886564735e10,step_0.4_1_2.8mg,1
0.76,8.492332889451657,8.173294692437257e10,step_0.4_1_2.8mg,1
0.77,8.4599308460557,8.174520614800183e10,step_0.4_1_2.8mg,1
0.78,8.426007489888717,8.175742775211456e10,step_0.4_1_2.8mg,1
0.79,8.39061864420976,8.176961293935315e10,step_0.4_1_2.8mg,1
0.8,8.353819518838707,8.178176290662558e10,step_0.4_1_2.8mg,1
0.81,8.315663763162602,8.179387883769281e10,step_0.4_1_2.8mg,1
0.82,8.276204152718698,8.180596190832199e10,step_0.4_1_2.8mg,1
0.83,8.235492355036351,8.181801328416321e10,step_0.4_1_2.8mg,1
0.84,8.19357878102513,8.183003411859103e10,step_0.4_1_2.8mg,1
0.85,8.150513577300558,8.184202556103793e10,step_0.4_1_2.8mg,1
0.86,8.106344280703492,8.18539887375045e10,step_0.4_1_2.8mg,1
0.87,8.061117773124803,8.186592476856123e10,step_0.4_1_2.8mg,1
0.88,8.014880949436396,8.187783477459917e10,step_0.4_1_2.8mg,1
0.89,7.967680132166178,8.188971985975432e10,step_0.4_1_2.8mg,1
0.9,7.919558551034213,8.190158110386707e10,step_0.4_1_2.8mg,1
0.91,7.870558721828551,8.191341958544345e10,step_0.4_1_2.8mg,1
0.92,7.820723181973785,8.192523638277899e10,step_0.4_1_2.8mg,1
0.93,7.770094647862164,8.193703255366129e10,step_0.4_1_2.8mg,1
0.94,7.718712687742165,8.194880913115411e10,step_0.4_1_2.8mg,1
0.95,7.6666157719970185,8.196056714905383e10,step_0.4_1_2.8mg,1
0.96,7.613842385172316,8.197230764101808e10,step_0.4_1_2.8mg,1
0.97,7.560431325805848,8.198403162000357e10,step_0.4_1_2.8mg,1
0.98,7.506418552714663,8.199574007155087e10,step_0.4_1_2.8mg,1
0.99,7.451838863477104,8.200743398192674e10,step_0.4_1_2.8mg,1
1.0,7.396727064203227,8.201911433734447e10,step_0.4_1_2.8mg,1
1.01,7.341118415577461,8.203078210708867e10,step_0.4_1_2.8mg,1
1.02,7.285045513229129,8.20424382302002e10,step_0.4_1_2.8mg,1
1.03,7.228539655825459,8.20540836441486e10,step_0.4_1_2.8mg,1
1.04,7.171632145644149,8.206571928639168e10,step_0.4_1_2.8mg,1
1.05,7.114354778468681,8.207734608170049e10,step_0.4_1_2.8mg,1
1.06,7.056736965594836,8.208896492325952e10,step_0.4_1_2.8mg,1
1.07,6.998806765848339,8.2100576699954e10,step_0.4_1_2.8mg,1
1.08,6.940592240287181,8.211218230068382e10,step_0.4_1_2.8mg,1
1.09,6.882123648319712,8.212378262198686e10,step_0.4_1_2.8mg,1
1.1,6.823427866799737,8.213537851238919e10,step_0.4_1_2.8mg,1
1.11,6.764528348003704,8.21469707918147e10,step_0.4_1_2.8mg,1
