time,IL6combo,Btumor,regimen,patient_id
0.0,0.0,8.06e10,fixed_2mg,1
0.01,314.0190289047135,8.061981834022682e10,fixed_2mg,1
0.02,645.6231917356126,8.063887212714748e10,fixed_2mg,1
0.03,855.9999208179238,8.065720090429329e10,fixed_2mg,1
0.04,974.0452390637233,8.067482210019397e10,fixed_2mg,1
0.05,1025.9689326538926,8.069179801953317e10,fixed_2mg,1
0.06,1029.5342520130432,8.070818079853159e10,fixed_2mg,1
0.07,997.2430955009108,8.072403063768456e10,fixed_2mg,1
0.08,938.185768914409,8.073939444540492e10,fixed_2mg,1
0.09,859.5022911193751,8.07543194782592e10,fixed_2mg,1
0.1,766.883779754857,8.07688482608535e10,fixed_2mg,1
0.11,665.3367652238768,8.078302268695622e10,fixed_2mg,1
0.12,559.2735153634575,8.079687719869264e10,fixed_2mg,1
0.13,452.9257682109776,8.08104417460987e10,fixed_2mg,1
0.14,351.48872628780236,8.082374086103183e10,fixed_2mg,1
0.15,262.4868229990684,8.083679090277025e10,fixed_2mg,1
0.16,193.9622915846322,8.084960013277832e10,fixed_2mg,1
0.17,147.78845277135497,8.086217054902426e10,fixed_2mg,1
0.18,119.25921837542722,8.087450113523915e10,fixed_2mg,1
0.19,102.52412614999369,8.088659015401611e10,fixed_2mg,1
0.2,93.17023185773643,8.089843600190048e10,fixed_2mg,1
0.21,88.31692179438258,8.09100374128499e10,fixed_2mg,1
0.22,86.17595720841861,8.09213934830881e10,fixed_2mg,1
0.23,85.65531082131216,8.093250365078015e10,fixed_2mg,1
0.24,86.08827006704733,8.094336767008354e10,fixed_2mg,1
0.25,87.06765350072212,8.095398558663028e10,fixed_2mg,1
0.26,88.34957066222302,8.09643577130188e10,fixed_2mg,1
0.27,89.78201587077507,8.097448460343678e10,fixed_2mg,1
0.28,91.2731765648607,8.09843670338998e10,fixed_2mg,1
0.29,92.7697107293078,8.099400598211575e10,fixed_2mg,1
0.3,94.23798514747821,8.100340260785898e10,fixed_2mg,1
0.31,95.6570884524933,8.101255823726897e10,fixed_2mg,1
0.32,97.01537616077651,8.102147434758458e10,fixed_2mg,1
0.33,98.30533296218834,8.103015255192813e10,fixed_2mg,1
0.34,99.51967841572011,8.103859458696344e10,fixed_2mg,1
0.35,100.66065206843834,8.104680230143562e10,fixed_2mg,1
0.36,101.72344209735876,8.105477764579416e10,fixed_2mg,1
0.37,102.71176047768472,8.10625226624953e10,fixed_2mg,1
0.38,103.61999825463369,8.107003947707361e10,fixed_2mg,1
0.39,104.4530722578113,8.107733029021387e10,fixed_2mg,1
0.4,105.20805558125616,8.108439737074434e10,fixed_2mg,1
0.41,105.88842814016331,8.10912430493372e10,fixed_2mg,1
0.42,106.49082846488255,8.109786971258466e10,fixed_2mg,1
0.43,107.02370284339808,8.110427979789267e10,fixed_2mg,1
0.44,107.48322063277723,8.111047578885258e10,fixed_2mg,1
0.45,107.86589137946928,8.111646021073346e10,fixed_2mg,1
0.46,108.17927754075157,8.11222356272789e10,fixed_2mg,1
0.47,108.42298310583354,8.112780463538756e10,fixed_2mg,1
0.48,108.59692645890135,8.113316986503467e10,fixed_2mg,1
0.49,108.70116569274063,8.113833397508827e10,fixed_2mg,1
0.5,108.73928864869545,8.114329964980063e10,fixed_2mg,1
0.51,108.70762202204536,8.114806959737607e10,fixed_2mg,1
0.52,108.61406890569901,8.11526465480621e10,fixed_2mg,1
0.53,108.4570788415249,8.115703325269965e10,fixed_2mg,1
0.54,108.23620528798565,8.116123248073045e10,fixed_2mg,1
0.55,107.9547756262386,8.116524701868797e10,fixed_2mg,1
0.56,107.61008823888412,8.116907966895088e10,fixed_2mg,1
0.57,107.20889918331,8.117273324867647e10,fixed_2mg,1
0.58,106.75029941064224,8.117621058901852e10,fixed_2mg,1
0.59,106.2343794751076,8.11795145339127e10,fixed_2mg,1
0.6,105.66408703906995,8.118264793924179e10,fixed_2mg,1
