time,IL6combo,Btumor,regimen,patient_id
0,0,80600000000,fixed_0.4mg,1
0.01,178.724868961944,80620017960.7789,fixed_0.4mg,1
0.02,407.946224888286,80639637091.0524,fixed_0.4mg,1
0.03,556.694654276149,80658809311.1295,fixed_0.4mg,1
0.04,630.909097801958,80677567137.7526,fixed_0.4mg,1
0.05,647.174867020785,80695913627.0584,fixed_0.4mg,1
0.06,629.428889305821,80713942574.7335,fixed_0.4mg,1
0.07,587.353528758814,80731676293.8262,fixed_0.4mg,1
0.08,529.568195242487,80749153250.4934,fixed_0.4mg,1
0.09,462.587143282393,80766410461.9793,fixed_0.4mg,1
0.1,391.439401798945,80783466481.7004,fixed_0.4mg,1
0.11,320.317993732803,80800369632.4468,fixed_0.4mg,1
0.12,252.442006798597,80817155104.6327,fixed_0.4mg,1
0.13,187.528029083483,80833870188.8469,fixed_0.4mg,1
0.14,130.735325162566,80850487543.7561,fixed_0.4mg,1
0.15,84.8259049697439,80867042574.5034,fixed_0.4mg,1
0.16,53.9575055396545,80883535620.5141,fixed_0.4mg,1
0.17,34.8648704337494,80899966700.2399,fixed_0.4mg,1
0.18,23.3480836041283,80916331659.2421,fixed_0.4mg,1
0.19,16.4589779748403,80932626105.9907,fixed_0.4mg,1
0.2,12.255322858785,80948851314.4574,fixed_0.4mg,1
0.21,9.83873754259798,80964997398.3372,fixed_0.4mg,1
0.22,8.41898176831565,80981066301.7271,fixed_0.4mg,1
0.23,7.59929767027053,80997058837.9535,fixed_0.4mg,1
0.24,7.17546827319877,81012966739.5615,fixed_0.4mg,1
0.25,6.97342798355376,81028791492.5948,fixed_0.4mg,1
0.26,6.90176097035924,81044536059.4024,fixed_0.4mg,1
0.27,6.91610147293892,81060188383.1125,fixed_0.4mg,1
0.28,6.97226772460173,81075760659.9448,fixed_0.4mg,1
0.29,7.05560246258531,81091241938.1748,fixed_0.4mg,1
0.3,7.15138573544445,81106638975.1676,fixed_0.4mg,1
0.31,7.25353562284304,81121946761.5148,fixed_0.4mg,1
0.32,7.35729590233983,81137169718.1667,fixed_0.4mg,1
0.33,7.45965039801579,81152301913.596,fixed_0.4mg,1
0.34,7.55960002321503,81167353059.9798,fixed_0.4mg,1
0.35,7.65549579794866,81182302897.4978,fixed_0.4mg,1
0.36,7.74787857912951,81197180739.8274,fixed_0.4mg,1
0.37,7.83588471307718,81211974427.2946,fixed_0.4mg,1
0.38,7.91918078707968,81226678117.0785,fixed_0.4mg,1
0.39,7.99783015862115,81241292226.9599,fixed_0.4mg,1
0.4,8.07214261775461,81255824395.9969,fixed_0.4mg,1
0.41,8.14050904732376,81270245701.3441,fixed_0.4mg,1
0.42,8.20631533975939,81284619389.3168,fixed_0.4mg,1
0.43,8.26841191318853,81298922022.8801,fixed_0.4mg,1
0.44,8.32472738131626,81313113927.5655,fixed_0.4mg,1
0.45,8.37992366594762,81327283907.1127,fixed_0.4mg,1
0.46,8.42722707521208,81341299262.8799,fixed_0.4mg,1
0.47,8.47453048447653,81355314618.647,fixed_0.4mg,1
0.48,8.51449863596106,81369183509.2321,fixed_0.4mg,1
0.49,8.55324781258535,81383028060.1988,fixed_0.4mg,1
0.5,8.58362609393049,81396701678.1735,fixed_0.4mg,1
0.51,8.60820684669946,81410256911.0923,fixed_0.4mg,1
0.52,8.63278759946843,81423812144.0111,fixed_0.4mg,1
0.53,8.65736835223739,81437367376.9299,fixed_0.4mg,1
0.54,8.68194910500636,81450922609.8488,fixed_0.4mg,1
0.55,8.70652985777533,81464477842.7676,fixed_0.4mg,1
0.56,8.72118243709239,81477822103.2714,fixed_0.4mg,1
0.57,8.72729255113243,81490984837.4817,fixed_0.4mg,1
0.58,8.73340266517247,81504147571.692,fixed_0.4mg,1
0.59,8.73951277921251,81517310305.9023,fixed_0.4mg,1
0.6,8.74562289325256,81530473040.1125,fixed_0.4mg,1
0.61,8.7517330072926,81543635774.3228,fixed_0.4mg,1
0.62,8.75034930789796,81556630618.1246,fixed_0.4mg,1
0.63,8.74098301194016,81569446620.885,fixed_0.4mg,1
0.64,8.73161671598236,81582262623.6455,fixed_0.4mg,1
0.65,8.72225042002456,81595078626.4059,fixed_0.4mg,1
0.66,8.71288412406676,81607894629.1664,fixed_0.4mg,1
0.67,8.70351782810897,81620710631.9268,fixed_0.4mg,1
0.68,8.68864281392905,81633397503.3634,fixed_0.4mg,1
0.69,8.66649249385054,81645913832.4263,fixed_0.4mg,1
0.7,8.64434217377203,81658430161.4892,fixed_0.4mg,1
0.71,8.62219185369352,81670946490.5522,fixed_0.4mg,1
0.72,8.60004153361501,81683462819.6151,fixed_0.4mg,1
0.73,8.5778912135365,81695979148.6779,fixed_0.4mg,1
0.74,8.55046845044386,81708365337.3297,fixed_0.4mg,1
0.75,8.51435524415385,81720537018.6177,fixed_0.4mg,1
0.76,8.47824203786385,81732708699.9058,fixed_0.4mg,1
0.77,8.44212883157384,81744880381.1938,fixed_0.4mg,1
0.78,8.40601562528383,81757052062.4819,fixed_0.4mg,1
0.79,8.36990241899382,81769223743.7699,fixed_0.4mg,1
0.8,8.33378921270381,81781395425.058,fixed_0.4mg,1
0.81,8.2976760064138,81793567106.346,fixed_0.4mg,1
0.82,8.26156280012379,81805738787.634,fixed_0.4mg,1
0.83,8.22544959383378,81817910468.9221,fixed_0.4mg,1
0.84,8.18933638754377,81830082150.2101,fixed_0.4mg,1
0.85,8.14865515908976,81842135319.691,fixed_0.4mg,1
0.86,8.10016295723,81853985842.9191,fixed_0.4mg,1
0.87,8.05167075537025,81865836366.1471,fixed_0.4mg,1
0.88,8.00317855351049,81877686889.3751,fixed_0.4mg,1
0.89,7.95468635165074,81889537412.6032,fixed_0.4mg,1
0.9,7.90619414979098,81901387935.8312,fixed_0.4mg,1
0.91,7.85770194793123,81913238459.0593,fixed_0.4mg,1
0.92,7.80920974607147,81925088982.2873,fixed_0.4mg,1
0.93,7.76071754421172,81936939505.5154,fixed_0.4mg,1
0.94,7.71222534235196,81948790028.7434,fixed_0.4mg,1
0.95,7.66373314049221,81960640551.9715,fixed_0.4mg,1
0.96,7.61263377582129,81972423221.2694,fixed_0.4mg,1
0.97,7.55690797105928,81984085482.9957,fixed_0.4mg,1
0.98,7.50118216629726,81995747744.7221,fixed_0.4mg,1
0.99,7.44545636153525,82007410006.4484,fixed_0.4mg,1
1,7.38973055677324,82019072268.1747,fixed_0.4mg,1
1.01,7.33400475201123,82030734529.9011,fixed_0.4mg,1
1.02,7.27827894724921,82042396791.6274,fixed_0.4mg,1
1.03,7.2225531424872,82054059053.3538,fixed_0.4mg,1
1.04,7.16682733772519,82065721315.0801,fixed_0.4mg,1
1.05,7.11110153296317,82077383576.8065,fixed_0.4mg,1
1.06,7.05537572820116,82089045838.5328,fixed_0.4mg,1
1.07,6.99847767979693,82100682692.8596,fixed_0.4mg,1
1.08,6.93942006319741,82112272740.3539,fixed_0.4mg,1
1.09,6.88036244659789,82123862787.8481,fixed_0.4mg,1
1.1,6.82130482999836,82135452835.3424,fixed_0.4mg,1
1.11,6.76224721339884,82147042882.8366,fixed_0.4mg,1
1.12,6.70318959679932,82158632930.3309,fixed_0.4mg,1
1.13,6.6441319801998,82170222977.8251,fixed_0.4mg,1
1.14,6.58507436360028,82181813025.3194,fixed_0.4mg,1
1.15,6.52601674700076,82193403072.8136,fixed_0.4mg,1
1.16,6.46695913040123,82204993120.3079,fixed_0.4mg,1
1.17,6.40790151380171,82216583167.8021,fixed_0.4mg,1
1.18,6.34870531462673,82228182368.7076,fixed_0.4mg,1
1.19,6.28924395387748,82239799083.5966,fixed_0.4mg,1
1.2,6.22978259312823,82251415798.4855,fixed_0.4mg,1
1.21,6.17032123237899,82263032513.3745,fixed_0.4mg,1
1.22,6.11085987162974,82274649228.2634,fixed_0.4mg,1
1.23,6.0513985108805,82286265943.1524,fixed_0.4mg,1
